id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,categoria_palabra
362,"probabilidad",5.07,0.98,3.71,2.08,1
363,"procedencia",5.72,1.09,3.72,1.84,1
364,"producto",4.98,0.75,3.40,1.65,1
365,"profesión",6.03,1.24,4.56,1.79,1
366,"propiedad",5.87,1.32,3.92,1.92,1
367,"propietario",5.18,0.99,3.13,1.81,3
368,"proporción",4.82,1.18,3.36,1.75,1
369,"protagonista",6.03,1.46,4.73,2.02,1
370,"provincia",5.21,0.74,3.11,1.87,1
371,"puerto",6.24,1.25,3.46,1.74,1
372,"puesto",5.60,1.44,3.80,2.06,3
373,"quimera",5.18,1.43,4.24,2.26,1
374,"química",4.86,1.89,4.32,2.09,1
375,"rastro",5.37,1.04,4.49,1.91,1
376,"razonamiento",6.02,1.33,4.19,1.88,1
377,"reacción",5.68,1.13,5.49,2.31,1
378,"realización",5.96,1.38,4.39,2.02,1
379,"rebelión",4.53,1.99,6.54,1.81,1
380,"reconocimiento",6.13,1.44,4.86,1.97,1
381,"reconstrucción",6.04,1.32,4.33,1.82,1
382,"redacción",5.26,1.12,3.69,1.89,1
383,"régimen",3.93,1.41,4.51,2.21,1
384,"remedio",6.59,1.45,4.36,2.04,1
385,"réplica",4.37,1.38,4.54,2.18,1
386,"reposo",6.94,1.25,2.14,1.65,1
387,"representación",5.67,1.27,4.04,1.95,1
388,"republicano",5.77,1.51,4.66,2.15,1
389,"resistencia",5.56,1.79,5.91,1.97,1
390,"resolución",6.01,1.27,4.48,1.87,1
391,"responsabilidad",6.08,1.46,5.53,1.92,1
392,"respuesta",5.59,1.03,3.64,1.93,1
393,"retórica",5.02,1.21,3.76,1.87,1
394,"reverendo",4.20,1.44,3.66,1.95,1
395,"revés",3.93,1.19,4.32,2.12,1
396,"revisión",4.18,1.26,5.24,2.09,1
397,"revolución",5.12,2.25,6.94,1.46,1
398,"riego",5.10,1.10,3.52,1.79,1
399,"rival",3.51,1.51,6.21,1.88,1
400,"ropa",6.56,1.32,4.31,2.33,1
401,"rosal",6.26,1.39,3.59,1.73,1
402,"rostro",6.24,1.23,4.08,1.77,1
403,"rueda",5.06,1.12,3.04,1.82,1
404,"sabiduría",7.67,0.98,4.14,2.10,1
405,"sabor",6.58,1.24,4.11,2.02,1
406,"saludo",6.49,1.06,4.06,1.83,1
407,"salvación",6.76,1.55,5.28,2.08,1
408,"sangre",3.09,1.58,6.64,1.98,1
409,"sazón",5.14,0.98,3.20,1.77,1
410,"sector",4.89,0.69,3.41,1.87,1
411,"sencillez",6.72,1.21,3.24,1.68,1
412,"sendero",5.93,1.38,3.33,1.66,1
413,"sensibilidad",7.14,1.41,4.07,2.13,1
414,"sentimiento",7.19,1.41,5.41,2.26,1
415,"serpiente",3.53,2.20,6.73,2.01,1
416,"servidumbre",2.83,1.57,5.10,2.25,1
417,"sexo",7.67,0.94,7.02,1.90,1
418,"sexualidad",7.22,1.05,6.19,2.16,1
419,"sierra",4.61,1.52,4.22,1.89,1
420,"simplicidad",5.74,1.70,3.08,1.71,1
421,"soldado",3.80,1.55,4.94,2.15,1
422,"soledad",2.52,1.93,5.68,2.31,1
423,"solidaridad",7.56,1.08,4.22,2.13,1
424,"sombrero",5.21,1.32,2.97,1.71,1
425,"sospecha",3.80,1.38,6.02,1.90,1
426,"sueldo",7.19,1.35,5.00,2.29,1
427,"sugestión",5.11,1.58,5.03,1.88,1
428,"superstición",4.14,1.35,4.92,2.00,1
429,"sur",5.92,1.38,4.03,2.18,1
430,"surco",4.83,0.95,3.07,1.79,1
431,"suspiro",5.52,1.61,3.93,1.85,1
432,"talle",5.02,0.81,3.06,1.83,1
433,"tarea",4.64,1.39,5.21,1.98,1
434,"tarjeta",5.59,1.21,3.49,1.96,1
435,"teja",4.82,0.92,2.96,1.71,1
436,"tela",5.17,0.97,2.91,1.75,1
437,"tema",4.93,1.01,4.07,1.96,1
438,"temporal",3.48,1.91,6.38,1.54,1
439,"terraza",6.12,1.48,3.34,1.64,1
440,"territorio",5.06,1.03,3.63,1.99,1
441,"tesoro",7.30,1.00,5.18,2.01,1
442,"texto",4.99,0.87,3.38,1.67,1
443,"timbre",4.84,1.29,4.83,2.41,1
444,"tiranía",1.76,1.09,7.10,1.98,1
445,"título",5.46,1.33,3.57,1.97,1
446,"tormento",2.09,1.08,6.74,1.88,1
447,"trabajo",5.31,1.67,5.18,2.09,1
448,"traje",5.90,1.23,3.90,1.92,1
449,"trance",3.98,1.45,4.99,2.17,1
450,"tranquilidad",7.53,1.32,2.13,1.57,1
451,"tránsito",4.49,1.14,4.28,2.14,1
452,"tranvía",5.47,1.14,3.57,1.58,1
453,"trascendencia",5.43,1.13,4.67,1.91,1
454,"trecho",4.82,0.70,3.48,1.83,1
