id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
407,"campeón",492,503.67,2.84,1
408,"campo",509,476.98,2.92,1
409,"canal",548,483.42,4.16,1
410,"cáncer",489,507.36,5.28,1
411,"candado",598,574.51,3.83,1
412,"candidato",576,542.58,5.68,1
413,"candil",616,514.58,5.28,1
414,"canela",529,510.09,3.76,1
415,"canon",581,536.55,6.17,1
416,"cantar",504,502.94,1.88,2
417,"cantidad",507,499.19,4.04,1
418,"cantina",606,529.94,5.08,1
419,"caoba",653,537.71,5.80,1
420,"caos",632,492.77,4.76,1
421,"capa",492,479.83,3.16,1
422,"capacidad",526,519.70,4.26,1
423,"capellán",598,544.13,5.35,1
424,"capital",511,487.80,3.64,1
425,"capitán",496,485.70,3.44,1
426,"capítulo",521,501.13,3.56,1
427,"capote",601,514.23,4.72,1
428,"capricho",538,509.81,3.20,1
429,"captar",542,516.27,4.16,1
430,"capturar",516,528.92,4.52,1
431,"capucha",553,530.25,2.70,1
432,"cara",498,478.91,1.80,1
433,"carácter",511,523.34,4.34,1
434,"caravana",567,543.73,3.75,1
435,"carbón",523,477.20,4.00,1
436,"carcajada",578,522.48,4.36,1
437,"cárcel",500,508.24,3.58,1
438,"carecer",573,542.98,4.68,1
439,"carencia",621,543.49,5.50,1
440,"cargar",526,496.47,4.58,1
441,"caricatura",601,552.73,4.00,1
442,"cariño",484,490.17,2.81,1
443,"carmín",560,499.60,5.08,1
444,"carnaval",530,523.87,2.56,1
445,"carne",499,481.88,2.32,1
446,"carnero",547,540.48,4.20,1
447,"carpeta",509,506.19,2.36,1
448,"carpintero",546,542.88,3.20,1
449,"carro",527,494.02,3.12,1
450,"carromato",644,633.40,5.88,1
451,"carruaje",594,544.62,4.52,1
452,"carta",493,475.41,2.54,1
453,"cartel",501,490.31,3.48,1
454,"cartulina",593,531.25,2.48,1
455,"casa",480,485.92,1.43,1
456,"casar",505,498.13,3.36,2
457,"cascabel",599,557.69,2.96,1
458,"cascada",525,554.90,3.16,1
459,"casino",527,485.48,4.76,1
460,"caso",541,482.19,3.21,1
461,"casta",583,510.09,6.00,1
462,"castaño",500,506.67,3.28,3
463,"castigar",512,517.77,2.80,1
464,"castillo",503,499.24,2.31,1
465,"casual",553,513.18,4.56,1
466,"catástrofe",582,540.48,4.96,1
467,"catecismo",675,580.65,4.08,1
468,"categoría",546,532.88,4.58,1
469,"católica",546,528.39,4.04,1
470,"católico",533,533.28,4.00,3
471,"catre",560,538.29,5.84,1
472,"cauce",596,495.04,4.64,1
473,"caudal",581,505.06,5.04,1
474,"caudillo",583,528.68,6.00,1
475,"causar",541,484.70,4.08,1
476,"cautela",592,555.32,5.60,1
477,"cavidad",585,510.17,6.04,1
478,"cavilar",637,521.40,6.28,2
479,"cazar",519,489.70,3.52,2
480,"cebo",570,514.06,4.31,1
481,"cebolla",494,529.21,2.83,1
482,"ceder",586,519.96,4.84,1
483,"ceja",564,521.98,2.34,1
484,"celda",534,506.61,4.24,1
485,"celebrar",525,534.47,2.44,1
486,"celeridad",544,603.51,6.37,1
487,"celo",564,508.29,3.74,1
488,"celofán",659,595.02,5.19,1
489,"célula",509,523.47,5.52,1
490,"celulosa",595,576.44,6.09,1
491,"cementerio",561,573.06,3.80,1
492,"cena",472,489.02,1.84,1
493,"cenicero",549,570.06,3.53,1
494,"ceniza",557,538.06,3.92,1
495,"censo",523,500.62,6.24,1
496,"censura",550,530.50,5.24,1
497,"centro",529,485.08,3.00,1
498,"cera",496,476.86,3.36,1
499,"cerámica",553,568.50,4.60,1
500,"cerdo",521,500.21,2.15,1
501,"cerebro",493,493.42,3.70,1
502,"ceremonia",574,553.70,4.88,1
503,"cerrar",523,510.40,2.24,2
504,"cerro",542,516.34,5.92,1
505,"cesar",545,490.55,4.92,1
506,"césped",540,530.70,3.48,1
507,"cesta",542,514.76,2.38,1
508,"cetro",552,525.53,5.76,1
509,"champán",532,526.94,4.38,1
510,"chapa",514,505.41,3.31,1
511,"chaqueta",562,528.79,1.87,1
512,"charco",543,519.88,2.35,1
513,"charlar",527,532.06,3.04,2
514,"charlatán",587,561.33,3.84,1
515,"chata",561,504.58,4.12,1
516,"chaval",527,503.76,4.00,1
517,"cheque",586,517.02,4.92,1
518,"chica",504,480.34,2.20,1
519,"chicle",527,528.10,2.36,1
520,"chico",477,495.54,2.12,1
521,"chimenea",577,525.46,2.57,1
522,"chip",538,506.31,5.39,1
523,"chispa",532,502.65,3.04,1
524,"chivo",636,522.29,5.84,1
525,"chocar",508,493.22,2.84,1
526,"chocolate",506,515.00,2.00,1
527,"chófer",582,512.43,4.46,1
528,"chorro",507,511.18,3.32,1
529,"choza",587,501.41,4.12,1
530,"chulo",534,502.06,3.60,1
531,"cicatriz",570,561.93,3.64,1
532,"ciclo",566,509.00,4.11,1
