id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
132,"brillante",7.03,1.49,5.74,1.84,5.61,1.98,"bright",1
133,"brío",5.78,2.14,5.77,2.24,5.32,2.08,"zest",1
134,"brisa",7.31,1.58,4.51,2.55,4.99,2.47,"breeze",1
135,"brutal",1.90,1.49,6.68,2.05,3.90,2.32,"brutal",1
136,"buceador",5.52,1.81,5.22,2.10,4.83,2.05,"diver",1
137,"bueno",7.92,1.20,4.87,2.64,6.53,1.96,"good",1
138,"búho",5.92,1.75,4.59,2.10,4.22,2.06,"owl",1
139,"bulto",3.10,1.69,5.29,2.19,3.71,1.89,"lump",1
140,"burla",2.20,1.35,6.21,2.15,3.94,2.12,"ridicule",1
141,"caballo",6.36,2.04,5.66,2.17,4.78,2.02,"horse",1
142,"cable",4.53,1.42,4.40,1.77,5.17,1.84,"cord",1
143,"cachorro",7.21,2.11,5.69,2.32,5.86,1.90,"puppy",1
144,"cadáver",1.41,0.75,6.87,2.18,2.54,1.85,"corpse",1
145,"caída",2.26,1.28,6.17,2.01,3.42,2.26,"fall",1
146,"calidad",6.78,1.73,5.02,1.88,5.68,1.92,"quality",1
147,"callado",4.03,1.87,3.57,1.90,4.76,2.18,"quiet",1
148,"calle",5.53,1.63,5.43,2.02,5.24,1.79,"street",1
149,"callejón",3.46,1.92,5.58,2.11,4.03,2.07,"alley",1
150,"calmar",6.60,1.85,3.56,2.31,5.80,1.97,"soothe",1
151,"calor",5.92,2.10,5.66,2.15,4.44,2.19,"warmth",1
152,"cama",7.71,1.42,4.57,2.96,6.02,2.44,"bed",1
153,"camión",4.67,1.37,4.56,1.71,4.87,1.62,"truck",1
154,"campeón",7.29,1.82,6.84,2.09,6.09,2.37,"champ",1
155,"campo",7.23,1.58,4.18,2.56,5.97,2.21,"field",1
156,"cáncer",1.23,0.91,6.18,2.85,1.91,1.84,"cancer",1
157,"canción",8.01,1.19,6.61,2.49,6.44,2.04,"song",1
158,"cansado",2.47,1.22,2.58,1.79,4.17,2.05,"weary",1
