id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1111,"honradez","honesty",4.53,0.73,1.13,0.57,1.30,0.70,1.30,0.84,1.07,0.25,1
1112,"horca","gallows",1.32,0.67,2.46,1.64,2.82,1.61,3.11,1.42,2.71,1.74,1
1113,"hormiga","ant",1.37,0.93,1.07,0.37,1.07,0.25,1.27,0.58,1.67,0.88,1
1114,"hormigueo","tingling",2.48,1.45,1.48,0.78,1.34,0.72,2.28,1.31,1.86,1.30,1
1115,"hormiguero","anthill",1.70,1.09,1.30,0.60,1.03,0.18,1.70,0.99,2.17,1.39,1
1116,"hornear","bake",2.30,1.32,1.13,0.43,1.10,0.31,1.30,0.60,1.10,0.31,2
1117,"horquilla","hairpin",2.17,1.51,1.03,0.19,1.00,0.00,1.00,0.00,1.07,0.26,1
1118,"horror","horror",1.13,0.51,2.27,1.36,2.20,1.06,4.17,1.32,1.77,1.14,1
1119,"hospital","hospital",1.63,1.10,1.70,1.34,3.47,1.20,3.00,1.41,2.07,1.39,1
1120,"hostil","hostile",1.21,0.56,3.10,1.32,2.83,1.47,3.03,1.35,2.45,1.21,1
1121,"hotel","hotel",2.87,1.36,1.10,0.55,1.03,0.18,1.17,0.75,1.17,0.46,1
1122,"huerto","orchard",2.70,1.37,1.00,0.00,1.10,0.31,1.07,0.37,1.17,0.38,1
1123,"huevo","egg",1.87,1.01,1.17,0.65,1.07,0.25,1.13,0.57,1.37,0.67,1
1124,"humanidad","humanity",3.87,1.17,1.63,1.19,1.97,1.19,1.73,1.14,1.60,1.19,1
1125,"humanismo","humanism",3.20,1.16,1.53,1.11,1.53,0.82,1.37,0.81,1.43,0.94,1
1126,"humano","humane",2.87,1.20,1.50,0.78,1.83,1.18,1.80,1.24,1.37,0.76,3
1127,"humilde","humble",3.13,1.57,1.10,0.40,1.53,0.97,1.17,0.46,1.00,0.00,1
1128,"humillar","humiliate",1.00,0.00,4.23,0.94,4.00,1.34,2.80,1.19,3.47,1.38,2
1129,"humor","humor",4.47,0.78,1.57,1.19,1.53,1.17,1.30,0.88,1.10,0.40,1
1130,"hurgar","poke",1.27,0.64,1.97,1.27,1.87,1.36,2.13,1.41,2.63,1.50,1
1131,"idea","idea",3.67,0.99,1.30,0.75,1.30,0.79,1.57,0.77,1.07,0.25,1
1132,"idealismo","idealism",2.13,1.33,2.00,1.11,2.13,1.04,2.07,1.08,1.73,1.08,1
1133,"identidad","identity",2.90,1.35,1.20,0.76,1.40,0.81,1.83,1.05,1.03,0.18,1
1134,"idiota","idiot",1.20,0.61,2.90,1.49,2.50,1.14,1.80,1.37,2.17,1.37,1
1135,"ídolo","idol",3.43,1.28,1.53,0.94,1.37,0.85,1.27,0.69,1.07,0.37,1
1136,"iglesia","church",1.72,1.16,1.79,1.37,1.79,1.05,1.55,1.02,2.10,1.42,1
1137,"ignorancia","ignorance",1.27,0.64,2.80,1.37,3.50,1.25,2.90,1.42,2.27,1.31,1
1138,"iguana","iguana",1.77,1.22,1.07,0.25,1.10,0.40,1.97,1.13,2.00,1.17,1
1139,"imagen","image",2.37,1.19,1.60,0.89,1.63,0.89,1.67,0.92,1.63,0.85,1
1140,"imaginar","imagine",3.83,1.02,1.60,1.10,1.93,1.36,2.00,1.26,1.50,1.04,2
1141,"imán","magnet",1.57,0.97,1.07,0.25,1.03,0.18,1.10,0.31,1.07,0.25,1
1142,"imparcial","detached",1.50,1.04,1.50,1.04,1.40,0.89,1.30,0.75,1.33,0.71,1
1143,"impermeable","waterproof",1.60,1.10,1.03,0.18,1.10,0.31,1.13,0.43,1.17,0.46,1
1144,"importación","import",1.93,1.34,1.27,0.69,1.27,0.69,1.43,0.90,1.17,0.46,1
1145,"impotencia","impotence",1.03,0.18,3.60,1.35,3.37,1.10,2.67,1.21,1.57,1.01,1
1146,"impotente","impotent",1.10,0.40,3.03,1.59,2.80,1.35,2.23,1.30,1.53,0.97,1
1147,"impresionado","impressed",3.20,1.13,1.23,0.50,1.37,0.67,1.80,1.00,1.13,0.43,1
1148,"impresora","printer",1.20,0.48,1.70,1.21,1.23,0.73,1.13,0.51,1.17,0.53,1
1149,"impureza","impurity",1.27,0.64,1.70,0.95,2.07,0.78,1.87,0.90,2.53,1.36,1
1150,"incapacidad","disability",1.03,0.18,2.60,1.61,3.83,1.09,3.63,1.35,1.80,1.45,1
1151,"incendio","fire",1.00,0.00,2.40,1.22,3.40,1.19,4.10,0.84,1.20,0.48,1
1152,"incentivo","incentive",3.50,1.32,1.18,0.55,1.07,0.26,1.07,0.26,1.07,0.38,1
1153,"incomodidad","discomfort",1.13,0.57,2.50,1.22,2.43,1.17,2.40,1.38,2.10,1.32,1
1154,"incordio","nuisance",1.00,0.00,2.77,1.30,1.37,0.72,1.20,0.48,1.63,0.85,1
1155,"incremento","increase",2.23,0.97,1.60,0.81,1.53,0.82,1.80,0.92,1.27,0.58,1
1156,"indecisión","indecision",1.23,0.68,2.37,1.10,2.40,1.10,3.03,1.13,1.57,1.07,1
1157,"indefenso","helpless",1.17,0.59,2.07,1.20,3.23,1.41,3.27,1.55,1.40,0.89,1
1158,"indicio","indication",1.77,0.90,1.50,0.86,1.57,0.90,2.37,1.10,1.27,0.58,1
1159,"indiferente","indifferent",1.27,0.74,1.80,1.24,1.90,1.32,1.63,1.19,1.40,0.81,1
1160,"indio","indian",2.00,1.29,1.10,0.40,1.20,0.55,1.13,0.43,1.17,0.53,3
1161,"industria","industry",1.83,0.99,2.17,1.09,1.93,1.05,2.10,1.06,2.20,1.24,1
1162,"infanta","infanta",1.47,0.82,2.00,1.39,1.53,0.90,1.20,0.55,1.73,1.20,1
1163,"infección","infection",1.03,0.18,1.77,1.25,2.40,1.33,3.33,1.24,3.07,1.31,1
1164,"infeliz","unhappy",1.00,0.00,2.27,1.23,4.57,0.63,2.80,1.32,1.43,0.82,1
1165,"inferior","inferior",1.13,0.35,2.30,1.56,3.47,1.22,2.77,1.41,1.63,1.03,1
1166,"inferioridad","inferiority",1.07,0.25,3.03,1.47,3.70,1.21,3.20,1.52,2.33,1.52,1
1167,"infiel","unfaithful",1.13,0.57,3.97,1.27,3.60,1.50,2.70,1.78,3.23,1.57,1
1168,"infierno","hell",1.00,0.00,2.69,1.67,2.41,1.57,3.52,1.60,2.14,1.55,1
1169,"infinito","infinity",2.20,1.19,1.40,0.86,1.67,0.99,2.80,1.24,1.13,0.73,3
1170,"inflación","inflation",1.21,0.56,2.31,1.34,2.31,1.54,2.14,1.25,2.00,1.20,1
1171,"información","information",3.07,1.17,2.03,1.30,2.10,1.18,2.13,1.14,1.63,1.13,1
1172,"informática","computing",1.83,1.18,1.43,0.82,1.17,0.46,1.47,0.82,1.17,0.65,1
1173,"informático","computer",1.87,1.17,1.07,0.25,1.23,0.57,1.23,0.68,1.03,0.18,3
1174,"informe","report",1.37,0.61,1.77,1.07,1.63,0.93,2.00,1.11,1.63,1.03,1
1175,"ingeniero","engineer",2.10,1.42,1.27,0.58,1.37,0.76,1.37,0.67,1.20,0.55,1
1176,"ingenio","wit",3.87,0.90,1.23,0.57,1.23,0.63,1.53,0.90,1.13,0.51,1
1177,"ingrediente","ingredient",2.63,1.13,1.27,0.83,1.23,0.63,1.23,0.63,1.57,0.97,1
1178,"ingresar","sign",1.83,1.15,1.57,0.86,2.63,1.38,2.77,1.48,1.27,0.58,1
1179,"ingreso","entry",2.77,1.41,1.23,0.50,2.03,1.45,2.37,1.22,1.37,0.72,1
1180,"inmaduro","immature",1.27,0.78,2.23,1.41,2.37,1.35,1.83,1.15,1.47,0.86,1
1181,"inmensidad","immensity",2.00,1.26,1.10,0.40,1.73,0.98,2.67,1.12,1.10,0.40,1
