id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1735,"pista","track",2.53,1.31,1.13,0.35,1.10,0.31,1.40,0.62,1.10,0.31,1
1736,"pistola","pistol",1.00,0.00,3.00,1.44,2.47,1.36,4.10,0.96,1.93,1.26,1
1737,"pitón","python",1.31,0.81,2.00,1.44,1.62,1.29,3.93,1.28,2.93,1.65,1
1738,"pizarra","board",1.83,0.99,1.23,0.63,1.53,0.97,1.33,0.71,1.17,0.53,1
1739,"pizza","pizza",4.07,1.20,1.10,0.55,1.20,0.66,1.10,0.55,1.13,0.43,1
1740,"placer","pleasure",4.77,0.43,1.17,0.46,1.07,0.25,1.37,0.76,1.10,0.31,1
1741,"placidez","placidity",3.76,1.48,1.34,0.77,1.41,0.82,1.48,0.87,1.34,0.86,1
1742,"plan","plan",2.77,1.30,1.10,0.31,1.13,0.43,1.43,0.77,1.17,0.46,1
1743,"plancha","iron",1.40,0.81,1.17,0.46,1.20,0.55,1.50,0.63,1.13,0.43,1
1744,"plano","plane",1.40,0.72,1.33,0.71,1.53,1.04,1.50,0.82,1.23,0.63,3
1745,"planta","plant",2.50,1.48,1.00,0.00,1.13,0.43,1.03,0.18,1.13,0.43,1
1746,"plástico","plastic",1.20,0.55,1.27,0.64,1.23,0.50,1.27,0.64,1.60,1.00,3
1747,"plato","plate",1.70,0.84,1.17,0.46,1.20,0.48,1.10,0.40,1.27,0.52,1
1748,"playa","beach",4.30,1.12,1.07,0.25,1.50,0.82,1.47,0.86,1.23,0.50,1
1749,"pleito","lawsuit",1.50,1.05,2.50,1.50,2.30,1.56,2.75,1.37,1.55,1.00,1
1750,"pluma","pen",2.13,1.36,1.37,1.03,1.87,1.41,1.50,1.11,1.53,0.94,1
1751,"plumero","duster",1.20,0.55,1.10,0.40,1.13,0.51,1.07,0.37,1.80,1.10,1
1752,"pobre","poor",1.00,0.00,1.87,1.28,4.23,0.86,1.40,0.81,1.17,0.59,1
1753,"pobreza","poverty",1.03,0.18,3.00,1.36,4.67,0.61,2.80,1.42,1.67,0.88,1
1754,"poder","power",2.50,1.48,2.17,1.39,1.53,1.07,2.67,1.37,2.17,1.21,2
1755,"poderío","power",2.27,1.31,1.97,0.96,1.57,1.19,1.87,1.11,1.63,1.13,1
1756,"poderoso","powerful",2.23,1.41,2.33,1.42,1.57,0.86,2.03,1.33,1.70,0.99,3
1757,"podrido","rotten",1.07,0.37,1.40,0.93,1.50,0.94,1.53,1.04,4.47,1.01,1
1758,"poesía","poetry",3.83,1.15,1.67,1.37,2.80,1.30,1.53,1.11,1.13,0.57,1
1759,"poetisa","poet",3.07,1.41,1.45,1.02,1.93,1.16,1.34,0.67,1.28,0.84,1
1760,"policía","police",1.90,1.21,2.37,1.27,2.10,1.37,2.57,1.17,2.03,1.27,1
1761,"polilla","moth",1.03,0.18,1.60,1.00,1.20,0.61,2.00,1.26,3.47,1.31,1
1762,"polo","pole",2.43,1.41,1.33,0.92,1.13,0.51,1.13,0.51,1.20,0.48,1
1763,"pompa","pomp",3.52,1.30,1.52,1.02,1.34,0.77,1.38,0.82,1.62,1.21,1
1764,"ponzoña","poison",1.17,0.51,1.89,1.08,1.89,1.18,3.11,1.32,2.78,1.31,1
1765,"porción","portion",2.10,1.06,1.40,0.86,1.37,0.76,1.53,0.86,1.40,0.81,1
1766,"pornografía","pornography",1.79,0.94,1.52,0.99,1.45,0.95,1.59,1.09,2.07,1.07,1
1767,"porquería","garbage",1.10,0.40,2.10,1.16,2.17,1.15,1.77,1.07,4.30,0.92,1
1768,"portería","goal",1.93,1.20,1.13,0.43,1.20,0.55,1.17,0.46,1.17,0.46,1
1769,"portero","goalie",2.13,1.25,1.67,1.09,1.40,0.89,1.73,1.08,1.37,0.85,3
1770,"pórtico","porch",1.70,1.13,1.10,0.31,1.15,0.37,1.25,0.64,1.15,0.37,1
1771,"posadera","innkeeper",1.72,1.13,1.07,0.26,1.17,0.47,1.17,0.76,1.24,0.58,1
1772,"posición","position",1.67,1.12,1.40,1.10,1.33,0.84,1.50,1.04,1.23,0.68,1
1773,"póster","poster",1.90,1.18,1.27,0.87,1.07,0.37,1.13,0.43,1.10,0.55,1
1774,"pozo","pit",1.27,0.58,1.63,0.93,2.63,1.52,3.67,1.37,1.87,1.11,1
1775,"pradera","prairie",3.73,1.08,1.07,0.25,1.20,0.48,1.07,0.25,1.03,0.18,1
1776,"precipicio","cliff",1.13,0.57,1.60,1.07,1.90,1.12,3.90,1.30,1.13,0.43,1
1777,"predominante","controlling",1.73,1.01,1.97,1.25,1.50,0.78,1.83,1.12,1.27,0.52,1
1778,"pregón","proclamation",2.24,1.21,1.14,0.44,1.31,0.60,1.17,0.47,1.14,0.35,1
1779,"prenda","garment",1.97,1.38,1.20,0.55,1.13,0.43,1.10,0.40,1.20,0.55,1
1780,"prensa","press",1.50,0.68,1.60,0.89,1.60,0.81,1.43,0.73,1.63,0.93,1
1781,"preocupación","concern",1.10,0.55,2.37,1.33,3.70,1.09,3.83,1.09,1.43,0.97,1
1782,"presa","dam",1.27,0.69,2.20,1.21,2.57,1.33,2.63,1.19,1.83,1.09,1
1783,"presentador","presenter",2.53,1.38,1.47,1.07,1.23,0.68,1.43,0.86,1.40,0.93,1
1784,"presentadora","presenter",2.77,1.28,1.27,0.69,1.27,0.69,1.40,0.81,1.37,0.89,1
1785,"presente","present",2.97,1.35,1.33,0.71,1.93,1.17,2.20,1.16,1.40,0.97,1
1786,"preservativo","condom",2.47,1.48,1.37,0.89,1.40,0.93,1.83,1.21,1.30,0.70,1
1787,"presidente","president",1.30,0.65,3.47,1.25,2.80,1.37,2.60,1.63,3.30,1.21,1
1788,"presión","pressure",1.13,0.43,2.87,1.28,2.27,1.36,2.63,1.27,1.80,1.35,1
1789,"preso","prisoner",1.40,0.72,2.50,1.36,2.77,1.14,3.03,1.35,1.80,1.10,1
1790,"prestigio","prestige",2.73,1.28,1.30,0.75,1.07,0.25,1.27,0.58,1.23,0.57,1
1791,"prima","cousin",3.13,1.43,1.33,0.76,1.37,0.81,1.27,0.64,1.27,0.69,1
1792,"primavera","spring",4.00,1.08,1.03,0.18,1.33,0.84,1.10,0.40,1.00,0.00,1
1793,"primo","cousin",3.70,1.26,1.07,0.37,1.30,0.70,1.27,0.78,1.20,0.81,3
1794,"princesa","princess",2.47,1.28,1.43,0.86,1.47,0.94,1.00,0.00,1.83,1.29,1
1795,"príncipe","prince",2.40,1.43,1.57,0.94,1.33,0.80,1.17,0.46,1.37,0.76,1
1796,"prioridad","priority",1.97,1.16,1.57,0.82,1.60,1.13,1.97,1.22,1.50,0.97,1
1797,"prisión","prison",1.33,0.84,2.57,1.55,3.33,1.40,4.00,1.05,2.27,1.51,1
1798,"prisionero","prisoner",1.20,0.41,2.20,1.24,2.97,1.54,2.93,1.20,1.67,0.96,1
1799,"privacidad","privacy",2.63,1.61,1.37,0.76,1.33,0.71,1.63,1.03,1.17,0.53,1
1800,"privación","deprivation",1.13,0.43,3.23,1.25,3.17,1.21,2.53,1.22,1.67,1.06,1
1801,"privilegio","privilege",3.37,1.47,1.83,1.37,1.77,1.30,1.57,0.94,1.80,1.30,1
1802,"probabilidad","probability",1.50,0.90,1.50,0.97,1.60,1.00,1.80,1.10,1.47,0.90,1
1803,"problema","trouble",1.23,0.57,2.33,1.54,3.10,1.45,3.43,1.14,1.63,1.19,1
1804,"proceso","process",1.53,0.78,1.23,0.57,1.30,0.65,1.60,0.81,1.23,0.63,1
1805,"prodigio","prodigy",3.77,1.01,1.10,0.31,1.20,0.48,1.40,0.67,1.10,0.31,1
1806,"profesor","professor",2.20,1.19,1.57,0.73,1.30,0.53,1.43,0.57,1.30,0.60,1
1807,"profesora","teacher",2.37,1.13,1.67,0.99,1.30,0.65,1.73,0.98,1.40,0.81,1
1808,"programa","program",2.57,1.41,1.57,1.01,1.43,0.90,1.43,0.94,1.67,1.03,1
1809,"progreso","progress",3.93,1.11,1.03,0.18,1.27,0.69,1.60,0.86,1.03,0.18,1
1810,"prohibición","ban",1.10,0.31,3.07,1.31,2.67,1.21,2.40,1.10,1.83,1.18,1
1811,"promoción","promotion",2.70,1.37,1.07,0.37,1.27,0.64,1.17,0.46,1.17,0.46,1
1812,"propietario","owner",2.30,1.37,1.70,1.24,1.47,0.94,1.73,1.01,1.57,1.22,3
1813,"proporción","ratio",1.60,0.86,1.33,0.71,1.43,0.77,1.33,0.71,1.30,0.65,1
1814,"propuesta","proposal",3.17,1.29,1.33,0.66,1.37,0.85,2.50,1.28,1.23,0.68,1
1815,"prosperidad","prosperity",3.77,1.17,1.17,0.75,1.30,0.79,1.77,1.19,1.13,0.57,1
1816,"prostituta","prostitute",1.13,0.57,1.57,1.14,3.43,1.33,1.43,0.86,2.13,1.14,1
1817,"protegido","protected",3.23,1.41,1.23,0.68,1.37,0.81,1.83,1.37,1.13,0.57,1
1818,"prótesis","prosthesis",1.50,1.11,1.47,0.86,2.77,1.07,2.77,1.33,1.77,1.07,1
1819,"provocación","provocation",2.00,1.29,2.77,1.25,1.63,0.76,1.97,1.13,1.87,0.97,1
1820,"proxeneta","procurer",1.12,0.44,3.32,1.31,2.60,1.41,2.80,1.32,3.48,1.36,1
1821,"psicóloga","psychologist",3.27,1.34,1.03,0.18,1.17,0.46,1.43,0.90,1.00,0.00,1
1822,"psiquiatra","psychiatrist",2.13,1.33,1.30,0.70,1.57,1.01,1.90,1.16,1.20,0.48,1
1823,"publicación","journal",2.87,1.38,1.30,0.70,1.20,0.48,1.73,1.14,1.10,0.31,1
1824,"publicidad","advertising",1.90,0.88,2.13,1.28,1.77,0.97,1.33,0.76,2.03,1.19,1
1825,"publicista","publicist",1.63,0.96,1.53,0.86,1.27,0.74,1.30,0.60,1.40,0.93,1
1826,"pueblo","village",3.17,1.34,1.27,0.83,1.53,0.78,1.33,0.84,1.20,0.48,1
1827,"puente","bridge",2.27,1.39,1.30,1.02,1.37,0.67,1.67,1.03,1.03,0.18,1
1828,"puerta","door",1.40,0.89,1.20,0.55,1.33,0.80,1.37,0.89,1.17,0.53,1
1829,"puerto","port",2.87,1.25,1.10,0.40,1.57,1.10,1.33,0.61,1.33,0.76,1
1830,"pulga","flea",1.07,0.37,1.50,1.25,1.13,0.73,1.90,1.40,3.47,1.31,1
1831,"pulpo","octopus",2.10,1.49,1.03,0.18,1.20,0.48,1.53,1.17,2.10,1.21,1
1832,"pulsera","bracelet",2.47,1.28,1.03,0.18,1.10,0.31,1.07,0.37,1.20,0.81,1
1833,"puntapié","kick",1.17,0.53,2.73,1.46,1.87,1.04,1.77,1.07,1.43,1.01,1
1834,"puñal","dagger",1.23,0.57,2.93,1.39,2.50,1.57,3.93,1.05,2.13,1.14,1
1835,"puño","fist",1.31,0.60,3.66,1.29,2.00,1.25,3.03,1.35,1.93,1.13,1
1836,"pupila","pupil",1.90,1.42,1.30,0.92,1.43,0.97,1.67,1.09,1.30,0.70,1
1837,"pureza","purity",3.33,1.03,1.07,0.37,1.13,0.35,1.10,0.40,1.03,0.18,1
1838,"purgatorio","purgatory",1.17,0.54,2.00,1.31,3.03,1.35,3.59,1.24,2.14,1.41,1
1839,"pus","pus",1.00,0.00,1.43,0.94,1.93,1.23,2.13,1.31,4.33,0.92,1
1840,"puta","hooker",1.23,0.68,2.63,1.65,3.47,1.33,2.23,1.07,2.47,1.41,1
1841,"putrefacto","putrid",1.07,0.37,1.37,0.61,1.77,1.17,1.87,1.07,4.37,1.13,1
1842,"puzle","puzzle",3.07,1.20,1.47,0.94,1.30,0.75,1.07,0.37,1.07,0.37,0
1843,"queja","gripe",1.20,0.55,2.77,1.30,2.23,1.22,1.93,1.01,1.47,0.82,1
1844,"quemadura","burn",1.00,0.00,2.13,1.25,2.63,1.33,2.87,1.22,1.77,0.90,1
1845,"querida","darling",3.67,1.52,1.67,1.27,1.80,1.21,1.73,1.23,1.50,1.14,1
1846,"querido","dear",3.90,1.37,1.83,1.34,2.27,1.36,2.40,1.28,1.60,1.04,3
1847,"queroseno","kerosene",1.08,0.41,1.21,0.59,1.25,0.61,2.54,1.44,1.92,1.10,1
1848,"quiebra","bankruptcy",1.03,0.18,2.97,1.40,3.60,1.10,3.47,1.25,1.40,0.67,1
1849,"quietud","stillness",1.72,1.03,1.45,1.02,1.62,0.98,1.62,1.18,1.31,0.71,1
1850,"quimera","chimera",1.65,1.03,2.13,1.42,1.65,1.15,2.00,1.21,1.52,0.85,1
1851,"quiosco","kiosk",1.97,0.85,1.23,0.57,1.23,0.63,1.10,0.31,1.13,0.35,1
1852,"rabia","rabies",1.10,0.40,4.10,1.24,2.57,1.41,2.53,1.61,2.10,1.49,1
1853,"radiador","radiator",1.70,1.02,1.07,0.25,1.10,0.31,1.17,0.46,1.03,0.18,1
1854,"radiante","radiant",3.73,1.31,1.03,0.18,1.10,0.40,1.17,0.59,1.03,0.18,1
1855,"radio","radio",2.77,1.33,1.13,0.43,1.40,0.67,1.10,0.40,1.03,0.18,1
1856,"ramo","bouquet",3.10,1.37,1.07,0.25,1.47,1.04,1.27,0.83,1.03,0.18,1
1857,"rana","frog",2.67,1.37,1.17,0.53,1.27,0.83,1.30,0.60,1.80,1.03,1
1858,"rancio","rancid",1.20,0.55,2.47,1.22,2.43,1.33,1.87,1.11,3.30,1.26,1
1859,"rápido","quick",2.40,1.22,1.67,1.06,1.50,0.97,2.23,1.22,1.33,0.61,3
1860,"rapto","abduction",1.03,0.19,3.79,1.18,3.59,1.48,3.83,1.44,2.76,1.48,1
1861,"rareza","rarity",1.77,0.86,1.27,0.74,1.50,0.68,2.30,0.99,1.60,0.86,1
1862,"raro","odd",1.83,1.05,1.60,0.93,1.93,1.20,2.30,1.15,1.63,1.00,3
1863,"rascacielos","skyscraper",2.37,1.43,1.30,0.84,1.57,1.07,2.37,1.33,1.30,0.88,1
1864,"rastro","trace",1.57,1.17,1.47,0.97,1.50,1.07,2.03,1.19,1.37,0.89,1
1865,"rata","rat",1.27,0.69,1.40,0.77,1.13,0.43,2.73,1.31,3.40,1.57,1
1866,"ratón","mouse",1.47,0.86,1.17,0.53,1.20,0.48,1.97,1.27,2.37,1.45,1
1867,"realeza","royalty",1.37,0.96,2.73,1.36,1.47,0.90,1.30,0.60,2.17,1.23,1
1868,"realidad","reality",3.17,1.26,2.47,1.33,3.10,1.24,2.80,1.21,2.37,1.27,1
1869,"realismo","realism",2.63,1.33,2.17,1.46,2.50,1.22,2.57,1.41,2.07,1.34,1
1870,"rebelde","defiant",1.73,1.01,2.70,1.51,2.07,1.39,2.27,1.44,1.37,0.85,1
1871,"rebelión","rebellion",2.50,1.31,2.73,1.34,1.67,0.99,2.77,1.10,1.40,0.81,1
1872,"recado","errand",1.17,0.59,1.30,0.95,1.07,0.25,1.13,0.51,1.07,0.25,1
1873,"rechazado","rejected",1.03,0.18,2.93,1.44,3.80,1.13,2.83,1.44,1.47,0.86,1
1874,"rechazo","rejection",1.27,0.87,3.33,1.37,4.10,1.09,4.13,1.01,2.27,1.36,1
1875,"recogedor","dustpan",1.37,0.96,1.03,0.18,1.13,0.51,1.13,0.57,1.60,1.10,1
1876,"recompensa","reward",3.70,1.34,1.17,0.59,1.20,0.61,1.43,0.86,1.30,0.84,1
1877,"reconocido","thankful",2.53,1.31,1.27,0.78,1.40,0.86,1.63,1.10,1.30,0.70,1
1878,"recorte","cut",1.07,0.25,3.30,1.42,3.10,1.56,2.83,1.46,2.47,1.50,1
1879,"recreo","recreation",4.40,0.93,1.00,0.00,1.27,0.83,1.10,0.31,1.10,0.55,1
1880,"rectángulo","rectangle",1.17,0.46,1.20,0.66,1.17,0.53,1.17,0.53,1.30,0.95,1
1881,"recuerdo","remember",3.87,0.82,2.10,1.18,3.00,1.14,1.90,1.06,1.60,0.97,1
1882,"recuerdos","memories",3.87,1.14,2.30,1.53,3.67,1.45,2.03,1.52,1.80,1.49,1
1883,"recurso","resource",2.53,1.17,1.40,0.77,1.67,1.03,1.60,0.93,1.30,0.65,1
1884,"refinería","refinery",1.27,0.58,1.50,0.86,1.57,1.10,1.43,0.77,1.87,1.07,1
1885,"reflejo","reflection",1.87,1.01,1.27,0.58,1.50,0.86,1.50,0.68,1.40,0.72,3
1886,"reflexión","reflection",2.80,1.47,1.47,0.94,2.03,1.33,2.23,1.33,1.33,0.76,1
1887,"refrigerio","refreshment",2.66,1.29,1.00,0.00,1.10,0.31,1.10,0.31,1.03,0.19,1
1888,"refugiada","refugee",1.53,0.97,1.97,0.89,3.17,0.83,2.23,1.07,1.23,0.57,1
1889,"refugiado","refugee",1.43,0.90,2.30,1.53,3.70,1.49,3.03,1.47,1.87,1.28,3
1890,"regalo","present",4.60,0.67,1.07,0.25,1.27,0.69,1.60,0.86,1.03,0.18,1
1891,"régimen","regime",1.47,1.04,2.50,1.48,2.37,1.59,2.50,1.48,2.47,1.48,1
1892,"regresión","regression",1.46,0.66,1.83,1.13,2.13,0.95,1.96,1.12,1.46,0.88,1
1893,"rehén","hostage",1.03,0.18,3.50,1.31,3.60,1.22,4.20,1.21,1.50,0.86,1
1894,"reina","queen",2.45,1.48,1.79,1.29,1.41,0.91,1.55,1.12,1.76,1.24,1
1895,"relajado","relaxed",3.73,1.17,1.00,0.00,1.07,0.25,1.00,0.00,1.00,0.00,1
1896,"relámpago","lightning",1.57,0.77,1.70,1.06,1.80,1.21,2.93,1.11,1.13,0.43,1
1897,"relato","story",2.67,1.12,1.43,0.82,2.00,0.95,1.73,0.94,1.30,0.70,1
1898,"reloj","clock",1.93,1.05,1.73,1.05,1.90,1.16,1.63,0.96,1.37,0.72,1
1899,"reno","reindeer",2.80,1.49,1.07,0.25,1.13,0.57,1.93,1.26,1.13,0.35,1
1900,"repisa","mantel",1.24,0.64,1.24,0.64,1.28,0.75,1.59,1.05,1.21,0.62,1
1901,"réplica","reply",1.43,0.82,1.57,0.94,1.33,0.84,1.63,0.89,1.13,0.43,1
1902,"reportera","reporter",3.13,1.41,1.43,0.97,1.63,0.89,1.67,0.84,1.23,0.82,1
1903,"represión","repression",1.07,0.25,3.73,1.23,3.43,1.33,3.00,1.49,2.90,1.42,1
1904,"reptil","reptile",1.37,0.81,1.43,0.90,1.27,0.83,2.30,1.37,2.40,1.48,1
1905,"repugnante","obnoxious",1.07,0.37,2.13,1.31,1.80,1.00,2.03,1.19,4.73,0.45,1
1906,"repulsión","repulsion",1.13,0.43,2.27,1.17,2.07,1.23,2.23,1.22,3.40,1.38,1
1907,"reputación","reputation",2.10,0.99,1.60,0.93,1.50,0.78,2.00,0.98,1.67,0.96,1
1908,"resaca","hangover",1.59,0.82,1.93,1.28,2.17,1.00,1.66,1.01,3.17,1.34,1
1909,"rescate","rescue",3.33,1.35,1.37,0.72,1.53,1.01,2.53,1.36,1.10,0.31,1
1910,"resentirse","resent",1.23,0.50,2.33,1.12,3.30,1.12,2.30,1.26,1.77,1.14,2
1911,"reservado","reserved",1.23,0.57,1.20,0.48,1.57,0.97,1.33,0.88,1.00,0.00,1
1912,"respeto","respect",3.40,1.19,1.23,0.57,1.20,0.61,1.43,0.82,1.03,0.18,1
1913,"respetuoso","respectful",3.13,1.43,1.20,0.66,1.17,0.46,1.27,0.74,1.07,0.25,1
1914,"respuesta","answer",1.97,1.33,1.33,0.96,1.30,0.88,1.77,1.19,1.20,0.81,1
1915,"restaurante","restaurant",2.80,1.32,1.03,0.18,1.07,0.25,1.03,0.18,1.13,0.35,1
1916,"retórica","rhetoric",2.31,1.49,1.45,0.69,1.45,0.78,1.28,0.59,1.45,0.95,1
1917,"retrasado","delayed",1.30,0.70,1.73,1.14,3.10,1.52,1.67,1.09,1.27,0.74,1
1918,"retrato","portrait",2.37,1.43,1.30,0.75,1.50,0.94,1.53,0.94,1.30,1.02,1
1919,"retrete","toilet",1.14,0.44,1.07,0.26,1.10,0.31,1.14,0.35,3.17,1.39,1
1920,"reunión","reunion",2.00,1.23,1.23,0.57,1.47,0.90,1.80,1.10,1.33,0.84,1
1921,"revelación","revelation",2.57,1.07,1.67,1.09,1.60,0.97,2.17,1.21,1.20,0.61,1
1922,"reverendo","reverend",1.30,0.75,1.97,1.33,1.43,0.90,1.43,0.86,1.87,1.11,1
1923,"reverente","reverent",2.38,1.12,1.08,0.28,1.08,0.28,1.23,0.60,1.08,0.28,3
1924,"revés","backwards",1.10,0.31,1.17,0.53,1.20,0.66,1.27,0.69,1.07,0.25,1
1925,"revivir","revive",3.90,1.09,1.30,0.88,1.80,1.13,2.70,1.29,1.43,1.04,1
1926,"revolución","revolution",2.80,1.54,2.70,1.64,1.80,1.13,2.60,1.22,1.27,0.83,1
1927,"revólver","revolver",1.27,0.78,3.30,1.51,2.93,1.51,4.03,1.16,2.50,1.36,1
1928,"revuelta","revolt",1.47,0.86,2.43,1.41,1.53,1.01,2.37,1.27,1.20,0.81,1
1929,"rey","king",1.23,0.50,2.80,1.47,2.00,1.23,1.47,1.04,2.53,1.33,1
1930,"riego","irrigation",2.03,1.13,1.27,0.64,1.23,0.57,1.23,0.63,1.33,0.71,1
1931,"riesgo","risk",2.40,1.22,1.47,0.78,1.50,0.82,3.43,1.17,1.03,0.18,1
1932,"rifle","rifle",1.00,0.00,2.63,1.45,2.27,1.39,3.83,1.15,1.87,1.11,1
1933,"rígido","rigid",1.07,0.26,1.55,1.06,1.45,0.87,1.62,1.01,1.38,0.78,1
1934,"rinoceronte","rhinoceros",1.80,1.06,1.37,0.76,1.17,0.46,2.43,1.38,1.40,0.77,1
1935,"riña","quarrel",1.04,0.19,3.56,1.12,3.22,1.28,3.00,1.24,1.37,0.93,1
1936,"río","river",2.67,1.30,1.10,0.40,1.20,0.61,1.43,0.86,1.13,0.43,1
1937,"riqueza","riches",3.00,1.26,1.83,1.05,1.70,1.02,1.70,1.02,1.47,0.94,1
1938,"risa","laughter",4.83,0.38,1.10,0.31,1.10,0.31,1.03,0.18,1.20,0.76,1
1939,"rivalidad","rivalry",1.87,1.07,3.23,1.01,2.03,1.16,2.47,1.14,2.00,1.02,1
1940,"roca","rock",1.30,0.75,1.13,0.43,1.03,0.18,1.50,0.73,1.00,0.00,1
1941,"rojo","red",2.53,1.53,2.07,1.36,1.13,0.51,1.50,0.94,1.07,0.37,3
1942,"romanticismo","romanticism",3.87,1.20,1.43,0.94,2.10,1.27,1.87,1.17,1.30,0.65,1
1943,"romántico","romantic",4.13,1.04,1.30,0.70,1.60,1.13,1.57,0.86,1.13,0.43,3
1944,"rompecabezas","puzzle",2.43,1.22,1.83,1.02,1.43,0.73,1.73,1.05,1.37,0.67,1
1945,"roña","filth",1.00,0.00,2.07,1.36,1.90,1.23,1.62,1.18,4.21,1.15,1
1946,"ropa","clothing",3.07,1.53,1.13,0.35,1.13,0.35,1.10,0.31,1.10,0.31,1
1947,"rotación","rotation",1.69,1.04,1.28,0.65,1.38,0.78,1.62,1.01,1.31,0.76,1
1948,"roto","broken",1.23,0.82,2.67,1.47,3.30,1.24,2.37,1.43,1.27,0.69,3
1949,"rotulador","marker",1.87,1.14,1.07,0.37,1.07,0.37,1.03,0.18,1.03,0.18,1
1950,"rotura","breakage",1.34,0.86,2.72,1.19,3.62,1.32,3.52,1.27,1.83,1.17,1
1951,"rubio","blond",2.17,1.39,1.20,0.55,1.13,0.43,1.17,0.53,1.17,0.53,3
1952,"rugido","roar",1.20,0.48,2.30,1.39,1.17,0.46,2.90,1.24,1.17,0.46,1
1953,"ruido","noise",1.60,0.86,2.73,1.28,1.57,0.68,2.00,1.34,1.53,1.07,1
1954,"ruidoso","noisy",1.47,1.04,3.20,1.42,1.37,0.72,1.43,0.90,1.47,1.01,3
1955,"ruiseñor","nightingale",3.14,1.16,1.03,0.19,1.14,0.44,1.21,0.41,1.21,0.77,1
1956,"ruptura","rupture",1.27,0.58,2.57,1.30,4.03,1.10,2.93,1.44,2.10,1.18,1
1957,"sabio","wise",3.67,1.06,1.23,0.57,1.43,0.77,1.47,0.82,1.17,0.53,3
1958,"sabor","taste",3.50,1.14,1.17,0.53,1.40,0.81,1.50,0.86,2.27,1.28,1
1959,"sacapuntas","pencil sharpener",1.23,0.57,1.03,0.18,1.00,0.00,1.03,0.18,1.07,0.37,1
1960,"sacerdote","priest",1.37,0.72,2.17,1.32,2.00,1.23,1.40,0.67,2.27,1.36,1
1961,"saciedad","satiety",2.55,1.06,1.55,0.91,1.52,0.83,1.48,0.83,1.72,0.96,1
1962,"saco","bag",1.13,0.43,1.20,0.66,1.40,0.81,1.60,1.13,1.17,0.53,1
1963,"sacrificio","sacrifice",1.90,1.30,2.37,1.43,3.27,1.51,3.17,1.18,2.20,1.35,1
1964,"sádico","sadist",1.07,0.25,3.03,1.50,2.37,1.33,3.73,1.26,2.53,1.48,1
1965,"salamandra","salamander",1.97,1.10,1.33,0.96,1.10,0.40,2.13,1.28,2.50,1.48,1
1966,"saltamontes","grasshopper",1.66,1.04,1.21,0.77,1.07,0.26,1.83,1.34,2.72,1.51,1
1967,"salto","jump",3.07,1.34,1.47,0.82,1.13,0.43,2.33,1.27,1.07,0.37,1
1968,"salud","health",4.23,1.19,1.47,1.04,1.60,1.13,2.10,1.45,1.40,0.97,1
1969,"saludar","greet",3.63,0.96,1.27,0.69,1.40,0.72,1.40,0.77,1.10,0.31,1
1970,"saludo","salute",3.33,1.03,1.17,0.53,1.13,0.43,1.27,0.69,1.13,0.51,1
1971,"salvador","savior",3.40,1.28,1.10,0.31,1.10,0.31,1.47,0.82,1.00,0.00,1
1972,"sangriento","bloody",1.03,0.18,2.23,1.52,2.87,1.41,3.53,1.28,3.67,1.47,3
1973,"sanguijuela","leech",1.07,0.25,1.30,0.75,1.07,0.25,2.57,1.45,3.93,1.14,1
1974,"sanidad","health",2.63,1.45,1.87,1.28,2.57,1.48,2.63,1.25,1.73,1.17,1
1975,"santo","saint",1.93,1.20,1.23,0.68,1.23,0.73,1.23,0.63,1.23,0.63,3
1976,"sapo","toad",1.73,1.05,1.03,0.18,1.40,0.81,1.73,1.08,3.30,1.32,1
1977,"sarampión","measles",1.03,0.18,1.90,1.24,2.27,1.26,2.70,1.34,2.77,1.36,1
1978,"sastre","tailor",2.30,1.32,1.00,0.00,1.23,0.63,1.13,0.35,1.00,0.00,1
1979,"satisfecho","satisfied",4.07,1.11,1.00,0.00,1.03,0.18,1.07,0.25,1.00,0.00,1
1980,"secador","hairdryer",1.63,1.00,1.07,0.37,1.07,0.37,1.27,0.58,1.07,0.37,1
1981,"sección","section",1.33,0.71,1.13,0.43,1.17,0.53,1.40,0.77,1.17,0.46,1
1982,"secretaria","secretary",1.93,1.26,1.33,0.96,1.67,1.15,1.63,1.27,1.33,0.92,1
1983,"secretario","secretary",1.43,0.73,1.13,0.35,1.33,0.80,1.23,0.57,1.07,0.25,3
1984,"secuestrador","kidnapper",1.00,0.00,3.77,1.41,2.53,1.33,4.37,1.00,2.90,1.67,1
1985,"secuestro","kidnapping",1.07,0.25,3.70,1.21,3.70,1.37,4.23,0.94,2.90,1.56,1
1986,"seda","silk",2.97,1.35,1.00,0.00,1.07,0.25,1.00,0.00,1.07,0.37,1
1987,"seguridad","security",3.40,1.38,1.30,0.65,1.40,0.89,1.80,1.19,1.13,0.43,1
1988,"seguro","safe",3.53,1.04,1.03,0.18,1.13,0.43,1.40,0.86,1.03,0.18,3
1989,"semáforo","semaphore",1.23,0.63,1.67,1.06,1.23,0.57,1.40,0.67,1.17,0.53,1
1990,"senadora","senator",1.69,1.17,2.55,1.45,1.72,1.16,1.59,0.87,2.34,1.40,1
1991,"seno","breast",1.77,1.07,1.10,0.40,1.10,0.40,1.07,0.37,1.07,0.37,1
